main_id sp_type plx_value plx_err teff logg fe_h vmag kmag
Kepler-1396 "" 0.8959 0.015599999576807022 5994.333333333333 4.339655664232042 -0.0020875004411209375 14.706000328063965 13.17300033569336
"CHSS  121" F 1.3792 0.01640000008046627 "" "" "" 13.199999809265137 11.836000442504883
"[BMZ2001] S Ori J053800.1-024707" "" "" "" "" "" "" "" 17.97800064086914
TOI-2803 "" 2.0234 0.011699999682605267 6240.4 4.2866668701171875 -0.22000000029802322 12.543999671936035 11.281999588012695
TOI-457 "" "" "" "" "" "" "" 10.979999542236328
TOI-3112 "" 2.659 0.015399999916553497 "" "" "" 13.472999572753906 11.055000305175781
KOI-7180 "" 0.7205 0.012000000104308128 "" "" "" "" 11.791000366210938
"TYC 4811-2522-1" "" 3.3022 0.0142000000923872 "" "" "" 12.050000190734863 10.317000389099121
"DANCe J16041234-2127472" L2 "" "" "" "" "" "" 16.534000396728516
TOI-3370 "" 1.8662 0.010499999858438969 "" "" "" 12.552000045776367 11.048999786376953
"BD+09   337" F5 5.8823 0.023399999365210533 6139.5 4.337949872016907 -0.21424999833106995 10.130000114440918 8.805000305175781
"UCAC4 400-052712" "" 4.2561 0.014100000262260437 "" "" "" 12.67199993133545 10.725000381469727
"2MASS J18595094-3706313" M5.75 6.358 0.23669999837875366 5486.0 4.090000152587891 -0.01600000075995922 "" 12.5649995803833
"UCAC4 615-031480" "" "" "" "" "" "" 12.170999526977539 10.385000228881836
KOI-2683 "" 0.402 0.02410000003874302 "" "" "" "" 13.765999794006348
"TYC 3916-1588-1" "" 3.8 0.011300000362098217 5703.5 4.291500091552734 0.3144499957561493 11.130000114440918 9.642000198364258
"CD-36 14540" "" 2.8995 0.019600000232458115 6268.2 3.8709999561309814 "" 10.25 9.159000396728516
KOI-4877 "" 0.8614 0.013799999840557575 5838.5 4.191466728846232 0.06576666422188282 "" 13.10099983215332
"UCAC4 480-130182" "" 1.0965 0.014499999582767487 "" "" "" 12.911999702453613 11.317999839782715
TOI-811 "" 3.506 0.014100000262260437 6074.0 4.66575014591217 0.37700000405311584 11.307999610900879 10.076000213623047
"UCAC4 325-186701" "" 0.1458 0.016499999910593033 4172.0 1.3504999876022339 -0.6815000176429749 13.880000114440918 9.824999809265137
TOI-2733 "" 0.9052 0.015300000086426735 "" "" "" 14.039999961853027 12.12399959564209
Kepler-575 "" 1.157 0.016699999570846558 5637.0 4.42674994468689 -0.10516666620969772 "" 13.079999923706055
TOI-3037 "" 0.9305 0.012500000186264515 "" "" "" 13.552000045776367 12.364999771118164
TOI-3158 "" 1.0433 0.016899999231100082 "" "" "" 13.116000175476074 11.564000129699707
"UCAC4 509-001383" "" 2.5166 0.016899999231100082 5766.0 4.269999980926514 -0.3330000042915344 13.055000305175781 11.420999526977539
"UCAC2  35390963" "" 4.8429 0.014800000004470348 4779.0 4.50540018081665 -0.5199999809265137 12.897000312805176 10.710000038146973
"2MASS J12195156+3128497" L9 52.0 3.799999952316284 1334.0 4.910000006357829 "" "" 14.305000305175781
"UCAC4 748-062242" "" 1.8437 0.011500000022351742 "" "" "" 14.010000228881836 12.223999977111816
TOI-3591 "" 1.6536 0.010700000450015068 "" "" "" 13.609999656677246 11.718999862670898
TOI-3401 "" 1.5687 0.01720000058412552 "" "" "" 13.980999946594238 12.289999961853027
TOI-1103 "" 3.1612 0.016899999231100082 4048.0 4.055999994277954 "" "" 8.562000274658203
KOI-5819 "" 1.1962 0.019099999219179153 5492.0 4.400000095367432 0.12999999523162842 "" 12.404999732971191
WASP-132 K4V 8.0924 0.01899999938905239 4692.166666666667 4.382166783014934 0.18666666746139526 "" 9.673999786376953
"2MASS J14423931-7927147" "" 3.0057 0.41940000653266907 "" "" "" "" 12.668000221252441
"TYC 8636-1092-1" "" 3.5714 0.012299999594688416 "" "" "" 10.598999977111816 9.597999572753906
WASP-59 K5V 8.6178 0.014000000432133675 4561.25 4.4575000405311584 -0.14000000152736902 12.779999732971191 9.722999572753906
KOI-6526 "" 0.5975 0.017999999225139618 5034.0 3.2909998893737793 -0.16499999910593033 "" 11.545999526977539
"UCAC4 326-179007" "" 0.1564 0.03359999880194664 4250.0 1.8882499933242798 -0.48399999737739563 "" 10.920000076293945
"2MASS J15584839-2315589" M9 "" "" "" "" "" "" 14.989999771118164
TOI-363 "" 2.2433 0.01720000058412552 "" "" "" 13.791999816894531 11.642000198364258
"UCAC4 514-052780" "" 1.6361 0.019200000911951065 "" "" "" 12.86400032043457 11.383000373840332
