    star_name|sy_dist|st_spectype|st_rad|st_teff|st_mass|st_age|ra|dec|sy_vmag|sy_jmag|sy_hmag|sy_kmag|known_binary_fl|gaia_binary_fl|WDSsep|wds_deltamag
TIC 283819432|12.947|G0Vn|0.8055797505503127|5749.0|0.97|10.48|225.94679016828|47.65397723893|4.99694|4.99694|4.99694|4.99694|1|0|0.2|0.8999999999999995
TIC 54137341|16.672224074691563|G0V|1.375473756990856|5816.8|1.04|7.92|117.942894|-13.898045|null|null|null|null|1|0|0.3|0.8799999999999999
TIC 461297684|25.1285|F8IV|2.002975188119676|6105.0|1.2650383710861206|4.383540630340576|229.82835|1.765429|4.921657085418701|4.921657085418701|4.921657085418701|4.921657085418701|1|1|11.7|5.05
TIC 212957673|21.04820037886761|F7V+G4V|1.5555693724877984|6091.0|1.22|4.16|8.812015|-3.59289|5.034700393676758|5.034700393676758|5.034700393676758|5.034700393676758|1|1|0.1|1.29
TIC 426452677|39.38558487593541|A5IVs|2.3488972999678617|7620.0|1.776416840225435|null|240.88368|-57.775109|null|null|null|null|1|0|0.3|0.5599999999999996
TIC 252191219|7.6753|G5Vb|0.8081431915192733|5342.0|0.78|6.47|17.067652|54.920339|4.948012351989746|4.948012351989746|4.948012351989746|4.948012351989746|1|1|0.6|5.4
TIC 118486580|19.6208|G3V+K0V|1.6086016178881808|5753.0|1.22|5.46|129.7831|-22.6616|5.1269636154174805|5.1269636154174805|5.1269636154174805|5.1269636154174805|1|1|0.5|1.4399999999999995
TIC 522415725||kA2hF2mF2(IV)||7900.0||null|30.51139196181|2.76370266531|5.10443|5.10443|5.10443|5.10443|1|0|1.9|-1.0700000000000005
TIC 154385728|6.971070059254096|K3V+K5V|0.6121092988653825|4886.0|0.7980589343366188|null|259.737893|-34.989934|null|null|null|null|1|0|1.3|1.0099999999999998
TIC 246895813|15.53277415346381|K1V+G|1.3117113180901077|5398.0|0.96|9.45|9.336278|-24.76733|null|null|null|null|1|0|0.1|-0.3999999999999994
TIC 428698700|28.66150759529951|F8.5V|1.1749398249803646|6133.0|1.3|3.59|195.942044|-20.583383|null|null|null|null|1|0|0.2|0.2599999999999998
TIC 379660147|33.79520108144644|G4V|2.476329047363115|5523.0|1.33|4.04|340.219571|14.549221|null|null|null|null|1|0|0.4|1.08
TIC 318163669|35.486160397445|F6V|2.014920265502328|6261.0|1.39|2.98|204.301736|-61.691844|null|null|null|null|1|0|0.4|1.239999999999999
TIC 284292958|18.6219739292365|G2V+G2V|1.0590046317721884|5961.0|1.13|5.91|230.80134|30.287841|null|null|null|null|1|0|0.4|0.3100000000000005
TIC 67906570||null||||null|111.744888|43.258163|null|null|null|null|0|0|null|null
TIC 278614418|21.7796|G2V|1.1610703935142197|5757.0|0.934719443321228|12.51886749267578|333.661073|-41.381736|6.063279628753662|6.063279628753662|6.063279628753662|6.063279628753662|0|0|null|null
TIC 471015557||null||3676.3||null|346.4668|-35.8531|null|null|null|null|0|0|null|null
TIC 194303203|32.607|F8IV|1.4999808889276005|6169.0|1.2140382528305054|4.1179375648498535|2.168181|36.627115|6.082331657409668|6.082331657409668|6.082331657409668|6.082331657409668|0|0|null|null
TIC 176941311|22.552999548940008|F9VFe-1.7CH-0.7|1.0983796876123724|6181.0|0.99|4.15|183.793969|-10.312468|6.003013610839844|6.003013610839844|6.003013610839844|6.003013610839844|1|1|42.8|6.79
TIC 514768737||A4V||7607.667279980398||null|247.72851676876|1.98391671486|5.189074|5.189074|5.189074|5.189074|1|0|1.4|-1.0
TIC 353969903|2.5461|M2+V|0.4278370753201991|3469.1|0.4042735175024463|null|165.834303|35.969748|6.551171779632568|6.551171779632568|6.551171779632568|6.551171779632568|0|0|null|null
TIC 287157635|5.9|M1.5V|0.5389809293529572|4077.0|0.606|null|224.3606|-21.4115|null|null|null|null|1|0|0.2|1.620000000000001
TIC 152972531|42.49893752656183|A8V+F3V|1.7779222471312142|6586.0|1.45|2.13|48.10779712948|-44.41977400326|6.01215|6.01215|6.01215|6.01215|1|0|0.1|0.9400000000000004
TIC 286305421|41.3907284768212|G2IV+G2IV|1.9249772697408332|5917.0|1.32|3.74|318.42696|64.403948|null|null|null|null|1|0|0.8|0.1200000000000001
TIC 10839729|37.27171077152442|F5V|1.6169073402442458|6508.0|1.39|2.69|25.436837|-11.324704|5.676385879516602|5.676385879516602|5.676385879516602|5.676385879516602|1|1|0.1|1.0300000000000002
TIC 1961255595|20.1626|null||||null|318.69855340671|38.04716060821|6.29095|6.29095|6.29095|6.29095|1|0|1.1|-2.74
TIC 59605887|14.59|K1V+K4V|0.8222824863203348|4945.0|0.8138043037769243|null|109.373037|-46.979251|6.717434883117676|6.717434883117676|6.717434883117676|6.717434883117676|1|1|0.6|1.25
TIC 471013491||null||||null|351.055253|-51.891174|null|null|null|null|0|0|null|null
TIC 97600027|21.2537|null||||null|126.695742|26.934874|null|null|null|null|0|0|null|null
TIC 506939512|39.5164680480957|null||||null|346.71996096349|-43.52061351241|6.50355|6.50355|6.50355|6.50355|1|0|1.5|-2.1499999999999995
TIC 256056579|44.11116012351125|F7V|1.663816681526313|6317.0|1.26|3.49|266.082552|-72.220988|null|null|null|null|1|0|0.7|1.2599999999999998
TIC 504952282||null||||null|56.07987138494|32.28847707045|null|null|null|null|1|0|1.1|-2.79
TIC 403736183||kA3hA5mA5IV-V||8100.0||null|179.459289|-43.720302|null|null|null|null|1|0|0.3|0.200000000000001
TIC 165558925|45.97701149425287|F7V|0.6780223595543874|6303.0|1.31|3.21|180.901605|-39.009037|null|null|null|null|1|0|0.3|0.6000000000000005
TIC 1203373581|48.9925|M0.5III|47.10833955670955|3945.0|0.6139570725436135|null|243.58621861382|-3.69494941324|2.016425132751465|2.016425132751465|2.016425132751465|2.016425132751465|1|1|68.4|10.5
TIC 264595454|43.7636761487965|G0|1.6130385437635018|6003.0|1.21|4.23|109.410522|9.292101|null|null|null|null|1|0|0.6|0.2999999999999998
TIC 149396581|17.5284837861525|K3V|0.9501757194754652|4806.0|0.81|7.42|139.472689|28.560568|null|null|null|null|1|0|0.5|0.0999999999999996
TIC 518659900||F3V||5505.0||null|346.97445928381|75.38767584505|6.71119|6.71119|6.71119|6.71119|1|0|1.1|-2.1899999999999995
TIC 416187721|35.243|null|0.5138967625177545|3940.0|0.613189|9.084799|75.400808|61.079357|11.12142848968506|11.12142848968506|11.12142848968506|11.12142848968506|1|1|5.4|-5.47
TIC 86519791||null||||null|272.124083|-45.767181|null|null|null|null|0|0|null|null
TIC 25300818|40.0529|F6V|1.3313406156043917|6281.0|1.1765053272247314|3.977009534835815|327.852502|-23.270528|6.737809658050537|6.737809658050537|6.737809658050537|6.737809658050537|1|0|null|null
TIC 135041892|38.1869|G1.5V|1.455130003626439|5647.0|1.0|10.77|198.732148|-11.369411|7.018479824066162|7.018479824066162|7.018479824066162|7.018479824066162|1|1|0.5|1.790000000000001
TIC 304379559||null||||null|315.670641|45.884769|null|null|null|null|0|0|null|null
TIC 520725468|24.0854|F5V|1.2464533809557994|4999.040251297091|0.828452520741513|null|170.98153156255|10.52932437937|6.8423|6.8423|6.8423|6.8423|1|0|2.3|-2.6500000000000004
TIC 435816192||K0||||null|297.609363|24.153937|null|null|null|null|1|0|0.3|0.1999999999999993
TIC 32542038||null||||null|235.758218|-10.933423|null|null|null|null|0|0|null|null
TIC 88348779|22.47|K2V|0.689190529719467|5108.0|0.84|10.56|44.311218|-24.969425|null|null|null|null|1|0|0.2|0.1399999999999988
TIC 471012437||null||4645.537473723362||null|90.080717|-31.030274|null|null|null|null|0|0|null|null
TIC 161335008|47.68717215069147|G3/6|1.550454880548714|6008.0|1.12|6.24|343.8158215766|-48.46544946877|6.99892|6.99892|6.99892|6.99892|1|0|0.6|1.62
TIC 357401721||null||||null|185.492393|15.395851|null|null|null|null|0|0|null|null
TIC 466779616|16.72|K5V|0.902901304285901|4313.0|0.6740718008101083|null|309.907204|4.972013|7.644552230834961|7.644552230834961|7.644552230834961|7.644552230834961|1|1|0.3|1.3500000000000014
TIC 185994898||null||||null|303.025329|46.326248|null|null|null|null|0|0|null|null
TIC 131039814||K2III||||null|189.222372|-32.175462|null|null|null|null|1|0|0.3|1.209999999999999
TIC 328030874|43.5468|G3V|1.3865108539939777|5747.0|0.9814651012420654|11.364081382751465|9.805289|3.133924|7.193043231964111|7.193043231964111|7.193043231964111|7.193043231964111|0|0|null|null
TIC 181589861|6.5|M3.5Ve|0.6262699914654457|3441.0|0.5461780280346951|null|253.8698|-8.3363|null|null|null|null|1|0|0.2|0.08
TIC 436278486||null||||null|193.49669|-60.335602|null|null|null|null|0|0|null|null
TIC 514810889||A7V:||8269.999999999996||null|63.48478185378|9.26402603441|7.2103|7.2103|7.2103|7.2103|1|0|1.3|-2.2700000000000005
TIC 950553243|25.332788467407227|null||||null|195.18344377173|56.36623111087|7.21512|7.21512|7.21512|7.21512|1|0|0.7|-2.8600000000000003
TIC 166650822|43.398|F:|0.8388228710844886|3997.0|0.6240745234993608|null|313.784492|-52.118855|10.203531265258787|10.203531265258787|10.203531265258787|10.203531265258787|1|1|4.0|-3.079999999999999
TIC 1001230963|24.86739461819846|A1.5Vas|3.046930885666768|9700.0|2.4741488623349|null|200.9823430636|54.92526137414|2.282647|2.282647|2.282647|2.282647|1|0|0.0|0.0
TIC 903621263||null||||null|168.52775002035|20.52315626468|7.32138|7.32138|7.32138|7.32138|0|0|null|null
TIC 252803603|4.9046|M1.0V|0.423871091124489|3465.0|0.3897673503396832|null|166.3691|43.5268|7.912664890289307|7.912664890289307|7.912664890289307|7.912664890289307|1|1|32.0|5.85
TIC 54234694|23.9883|K0V|0.91218372186081|5153.0|0.863|null|119.89140262026|20.84394289288|7.44257|7.44257|7.44257|7.44257|0|0|null|null
TIC 334894562|35.94536304816678|G8VFe+0.5|1.201964153008787|5274.0|0.9041477676606676|null|171.794807|-15.648633|null|null|null|null|1|0|0.5|0.1099999999999994
TIC 371477593|23.87774594078319|K3V|1.007155329563035|4591.0|0.7259108793151561|null|343.002371|57.716817|null|null|null|null|1|0|0.4|0.7300000000000004
TIC 180872237||null||||null|16.007829|-40.530724|null|null|null|null|0|0|null|null
TIC 284322437|43.4528|B7III|1.3345092452523644|14150.0|3.997109416252593|null|99.88800998461|28.26312858969|6.90307|6.90307|6.90307|6.90307|1|0|0.8|1.6399999999999997
TIC 470566146||K0||||null|84.308634|43.646587|null|null|null|null|1|0|0.4|0.0099999999999997
TIC 92357813|12.49|K5V|0.9076449788975935|4231.0|0.6616562304128198|null|51.968372|-19.804493|null|null|null|null|0|0|null|null
TIC 1179719919||B8Vn|3.856387495410656|13250.0|3.657162065640288|null|229.25129664972|-9.38299968567|2.634658|2.634658|2.634658|2.634658|1|0|null|null
TIC 871982||A4IV/V||7744.761759083211||null|130.466528|-28.20424|null|null|null|null|1|0|3.5|6.02
TIC 408816164|33.200531208499335|K0V|1.1061416517703868|5141.0|0.84|12.38|121.09686173551|12.28907404527|7.65428|7.65428|7.65428|7.65428|1|0|0.5|0.3699999999999992
TIC 506798310||null||||null|276.33723269637|-20.54170256798|7.26438|7.26438|7.26438|7.26438|1|0|1.7|-2.3999999999999995
TIC 414587194|4.0005|M4V|0.1806332128425729|3620.0|0.3214466130599901|null|336.9978|57.6959|9.980164527893066|9.980164527893066|9.980164527893066|9.980164527893066|1|1|2.1|-1.4800000000000004
TIC 289643770|14.8964695367198|A5IVnn|2.629341711330246|7899.2|1.889905910915628|null|263.73417450561|12.55903982525|null|null|null|null|1|0|0.3|2.9
TIC 471012596|6.32231143706139|M3V|0.3598300306785144|3462.0|0.4680399292558726|null|258.0325|45.6661|null|null|null|null|1|0|0.7|0.2300000000000004
TIC 421843457||null||||null|217.770731|6.435242|null|null|null|null|0|0|null|null
TIC 620343864|43.8375|F9V|1.0268370863579843|6026.926251357111|1.116885958683108|null|30.91378261772|25.93577744748|7.64585|7.64585|7.64585|7.64585|1|0|1.3|-2.05
TIC 240283563|30.5605|G8V|0.8921962341782281|5371.0|0.92|null|322.44507164739|45.89448890274|null|null|null|null|0|0|null|null
TIC 308411727|49.04364884747425|G8V+G9V|1.325596347010889|5460.0|0.9541822368266324|null|268.327505|24.991403|null|null|null|null|1|0|0.4|0.92
TIC 7059928||null||||null|126.980095|15.100285|null|null|null|null|0|0|null|null
TIC 330690137||null||||null|136.691684|15.216082|null|null|null|null|0|0|null|null
TIC 10024835||K2||||null|123.704872|36.496275|null|null|null|null|1|0|0.4|0.4700000000000006
TIC 283994667|37.4438|K7|0.7338156406146702|3788.0|0.5759639657620709|null|152.088256|-19.754524|10.762033462524414|10.762033462524414|10.762033462524414|10.762033462524414|1|1|4.1|-3.860000000000001
TIC 502687433||null||||null|355.99794725716|29.36133214647|7.73108|7.73108|7.73108|7.73108|1|0|0.8|-3.03
TIC 318686860|3.786|M3.5V|0.362232291372524|3150.0|0.2935178888822196|null|111.8521|5.2258|8.576388359069824|8.576388359069824|8.576388359069824|8.576388359069824|1|1|0.2|null
TIC 367074022||K0||||null|339.357254|76.731827|null|null|null|null|1|0|0.3|0.1000000000000014
TIC 160113218||null||||null|359.68381132254|-39.45000863529|null|null|null|null|0|0|null|null
TIC 29274832||G5||||null|86.240862|22.910265|null|null|null|null|1|0|0.5|0.3900000000000005
TIC 255614397||null||||null|97.450396|-50.236875|null|null|null|null|1|0|0.4|0.75
TIC 291026328||null||||null|310.150961|29.028362|null|null|null|null|0|0|null|null
TIC 5740740||null||||null|348.35052047962|-15.32124521516|null|null|null|null|0|0|null|null
TIC 281982982||null||||null|88.905876|5.604907|null|null|null|null|0|0|null|null
TIC 201126060||null||||null|264.775958|-26.937788|null|null|null|null|0|0|null|null
TIC 197761293|19.025875190258752|K6.5Vk|0.8975387558337945|4081.0|0.6386441463804694|null|326.648994|-57.703423|null|null|null|null|1|0|0.2|0.1099999999999994
TIC 230168624||null||||null|317.99470125822|17.72226613893|null|null|null|null|0|0|null|null
TIC 38446629||null||||null|54.585382|-11.20028|null|null|null|null|0|0|null|null
